Name,Genre,Director,Country,Year
"Авторитет (фильм, 2008)",боевик,,США,
Агент по кличке Спот,боевик,Джон Уайтселл,США,2001
Агент по имени Далила,триллер,Ричард Франклин,,1992
Агенты КГБ тоже влюбляются,комедия положений,Себастьян Аларкон,,1991
Агент секретной службы (фильм),детектив,,СССР,1978
Агенты Сокол и Снеговик,драма,Джон Шлезингер,Великобритания,1985
"Агент под прикрытием (фильм, 2012)",криминальный,,США,
Агент-невидимка,фильм ужасов,Эдвин Л. Марин,США,1942
Агенты А.Н.К.Л.,Комедийный боевик,Гай Ричи,США,2015
Агент особого назначения,Детектив,Константин Статский,Россия,
Агент Коди Бэнкс 2: Пункт назначения — Лондон,комедия,,США,2004
Агенты казначейства,нуар,Энтони Манн,,1947
Агент Ева,боевик,Тейт Тейлор,США,
Агент Джонни Инглиш: Перезагрузка,комедия,Оливер Паркер,Великобритания,2011
Александра (фильм),драма,Александр Сокуров,Россия,2007
Агент Коди Бэнкс,комедия,рус.,США,2003
Александр Попов (фильм),кинобиография,Герберт Раппапорт,СССР,1949
Агент Картер (фильм),короткометражка,,США,2013
Александр. Невская битва,исторический фильм,Игорь Калёнов,Россия,2008
Алеко (фильм-опера),фильм-опера,Сергей Сиделёв,,1953
Алекс и Эмма,комедия,Роб Райнер,США,2003
Александр Пархоменко (фильм),Киноповесть,Леонид Луков,СССР,1942
Александр Маленький,драма,Владимир Фокин,СССР,1981
Александр (фильм),биографическая,Оливер Стоун,,2004
Александр Невский (фильм),киноэпопея,Сергей Эйзенштейн,СССР,1938
"Александр Великий (фильм, 1956)",пеплум,Роберт Россен,США,1956
"Александр и ужасный, кошмарный, нехороший, очень плохой день",комедийный фильм,Мигель Артета,США,2014
Алджи-золотоискатель,комедия,Эдвард Уоррен,США,1912
Алголь (фильм),фантастика,Ханс Веркмайст,Германия,1920
Албанец (фильм),драматический фильм,[d],,2010
"Алая роза (фильм, 1963)",Криминальная,Умэцугу Иноуэ,Япония,
Алая камелия,криминальная драма,Ёситаро Номура,Япония,
"Алая роза (фильм, 1951)",комедия,,Франция,1951
Алая женщина,комедия,Жан Валер,Франция,1969
"Алая буква (фильм, 1911)",драматический фильм,Джозеф В. Смайли,США,1911
"Алая буква (фильм, 1973)",мелодрама,Вим Вендерс,ФРГ,1973
"Алая буква (фильм, 1926)",драма,Виктор Шёстрём,,1926
"Алая буква (фильм, 2004)",Драма,Пён Хёк,,2004
"Алая буква (фильм, 1995)",драма,Ролан Жоффе,США,1995
Алан Партридж: Альфа Отец,комедия,,Великобритания,
Аланис (фильм),драматический фильм,[d],,
Аламо: 13 дней славы,драма,Берт Кеннеди,США,1987
Алиса и укус пчелы,кинокомедия,Уолт Дисней,США,1925
Алиса и Букинист,мелодрама,Алексей Рудаков,Россия,1992
"Алиса в Стране чудес (фильм, 1999)",фэнтези,Ник Уиллинг,,
Алексеич,"новелла, киноповесть, экранизация",Людмила Салдадзе,,1970
"Алиса в Стране чудес (фильм, 1985)",приключенческий фильм,Гарри Харрис,,
Альма и Оскар,драма,,,
Алиса здесь больше не живёт,драма,Мартин Скорсезе,США,1974
"Алиса в Стране чудес (фильм, 2010)",фэнтези,Тим Бёртон,США,2010
Альманах сатиры и юмора,комедия,Александр Белинский,СССР,1980
Альпийская баллада (фильм),военная драма,Борис Степанов,СССР,
Альбино Аллигатор,неонуар,Кевин Спейси,,1996
Альба Регия (фильм),драма,Михай Семеш,Венгрия,1961
Аль-Кадисия (фильм),историческая драма,Салах Абу Сейф,,1981
Алый час,Фильм нуар,Майкл Кёртис,США,1956
Аль Капоне (фильм),гангстерский фильм,Ричард Уилсон,,
Амитивилль 3-D,ужасы,Ричард Флейшер,США,1983
Амбициозная кунгфуистка,боевик,,Гонконг,1981
"Аминь (фильм, 2002)",Драма,Коста-Гаврас,Франция,2002
Американская готика (фильм),ужасы,Джон Хаф,Великобритания,1987
Амитивилль 4: Зло спасается,ужасы,,США,
Амитивилль 2: Одержимость,ужасы,Дамиано Дамиани,США,1982
Амистад (фильм),историческая,Стивен Спилберг,США,1997
